C:\Users\kohlm\Desktop\arbeit\qPCR\130320 Standards BSP RIDA BSP.mxp
Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 2	P	 2	14	ICD	 17	    10518	59.7
 2	P	 2	14	ICD	 18	    10477	59.7
 2	P	 2	14	ICD	 19	    10559	59.7
 2	P	 2	14	ICD	 20	    10458	59.7
 2	P	 2	14	ICD	 21	    10463	59.7
 2	P	 2	14	ICD	 22	    10618	59.7
 2	P	 2	14	ICD	 23	    10712	59.7
 2	P	 2	14	ICD	 24	    10919	59.7
 2	P	 2	14	ICD	 25	    11587	59.7
 2	P	 2	14	ICD	 26	    12480	59.7
 2	P	 2	14	ICD	 27	    14177	59.7
 2	P	 2	14	ICD	 28	    16322	59.7
 2	P	 2	14	ICD	 29	    19424	59.7
 2	P	 2	14	ICD	 30	    22569	59.7
 2	P	 2	14	ICD	 31	    24985	59.7
 2	P	 2	14	ICD	 32	    26852	59.7
 2	P	 2	14	ICD	 33	    27710	59.7
 2	P	 2	14	ICD	 34	    28378	59.7
 2	P	 2	14	ICD	 35	    28535	59.7
 2	P	 2	14	ICD	 36	    29078	59.7
 2	P	 2	14	ICD	 37	    29164	59.7
 2	P	 2	14	ICD	 38	    28963	59.7
 2	P	 2	14	ICD	 39	    29103	59.7
 2	P	 2	14	ICD	 40	    29090	59.7
 2	P	 2	14	ICD	 41	    29275	59.7
 2	P	 2	14	ICD	 42	    29167	59.7
 2	P	 2	14	ICD	 43	    29099	59.7
 2	P	 2	14	ICD	 44	    29222	59.7
 2	P	 2	14	ICD	 45	    29225	59.7
 2	P	 2	14	Salmo	  1	    10664	59.5
 2	P	 2	14	Salmo	  2	    10527	59.6
 2	P	 2	14	Salmo	  3	    10466	59.6
 2	P	 2	14	Salmo	  4	    10373	59.6
 2	P	 2	14	Salmo	  5	    10465	59.7
 2	P	 2	14	Salmo	  6	    10476	59.7
 2	P	 2	14	Salmo	  7	    10450	59.6
 2	P	 2	14	Salmo	  8	    10545	59.7
 2	P	 2	14	Salmo	  9	    10575	59.6
 2	P	 2	14	Salmo	 10	    10512	59.7
 2	P	 2	14	Salmo	 11	    10629	59.7
 2	P	 2	14	Salmo	 12	    10617	59.7
 2	P	 2	14	Salmo	 13	    10620	59.7
 2	P	 2	14	Salmo	 14	    10691	59.7
 2	P	 2	14	Salmo	 15	    10616	59.7
 2	P	 2	14	Salmo	 16	    10735	59.7
 2	P	 2	14	Salmo	 17	    10714	59.7
 2	P	 2	14	Salmo	 18	    10707	59.7
 2	P	 2	14	Salmo	 19	    10756	59.7
 2	P	 2	14	Salmo	 20	    10728	59.7
 2	P	 2	14	Salmo	 21	    10760	59.7
 2	P	 2	14	Salmo	 22	    10814	59.7
 2	P	 2	14	Salmo	 23	    10782	59.7
 2	P	 2	14	Salmo	 24	    10849	59.7
 2	P	 2	14	Salmo	 25	    10864	59.7
 2	P	 2	14	Salmo	 26	    10901	59.7
 2	P	 2	14	Salmo	 27	    10865	59.7
 2	P	 2	14	Salmo	 28	    10903	59.7
 2	P	 2	14	Salmo	 29	    11014	59.7
 2	P	 2	14	Salmo	 30	    10986	59.7
 2	P	 2	14	Salmo	 31	    11023	59.7
 2	P	 2	14	Salmo	 32	    11131	59.7
 2	P	 2	14	Salmo	 33	    11185	59.7
 2	P	 2	14	Salmo	 34	    11207	59.7
 2	P	 2	14	Salmo	 35	    11161	59.7
 2	P	 2	14	Salmo	 36	    11140	59.7
 2	P	 2	14	Salmo	 37	    11205	59.7
 2	P	 2	14	Salmo	 38	    11159	59.7
 2	P	 2	14	Salmo	 39	    11221	59.7
 2	P	 2	14	Salmo	 40	    11172	59.7
 2	P	 2	14	Salmo	 41	    11273	59.7
 2	P	 2	14	Salmo	 42	    11211	59.7
 2	P	 2	14	Salmo	 43	    11213	59.7
 2	P	 2	14	Salmo	 44	    11322	59.7
 2	P	 2	14	Salmo	 45	    11395	59.7
 2	P	 2	15	Campy	  1	     4910	59.6
 2	P	 2	15	Campy	  2	     4801	59.6
 2	P	 2	15	Campy	  3	     4762	59.6
 2	P	 2	15	Campy	  4	     4757	59.6
 2	P	 2	15	Campy	  5	     4748	59.6
 2	P	 2	15	Campy	  6	     4749	59.6
 2	P	 2	15	Campy	  7	     4752	59.7
 2	P	 2	15	Campy	  8	     4775	59.7
 2	P	 2	15	Campy	  9	     4760	59.7
 2	P	 2	15	Campy	 10	     4758	59.7
 2	P	 2	15	Campy	 11	     4782	59.7
 2	P	 2	15	Campy	 12	     4769	59.7
 2	P	 2	15	Campy	 13	     4779	59.7
 2	P	 2	15	Campy	 14	     4782	59.7
 2	P	 2	15	Campy	 15	     4790	59.7
 2	P	 2	15	Campy	 16	     4793	59.7
 2	P	 2	15	Campy	 17	     4791	59.7
 2	P	 2	15	Campy	 18	     4788	59.7
 2	P	 2	15	Campy	 19	     4767	59.7
 2	P	 2	15	Campy	 20	     4788	59.7
 2	P	 2	15	Campy	 21	     4783	59.7
 2	P	 2	15	Campy	 22	     4774	59.7
 2	P	 2	15	Campy	 23	     4787	59.7
 2	P	 2	15	Campy	 24	     4799	59.7
 2	P	 2	15	Campy	 25	     4784	59.7
 2	P	 2	15	Campy	 26	     4801	59.7
 2	P	 2	15	Campy	 27	     4839	59.7
 2	P	 2	15	Campy	 28	     4897	59.7
 2	P	 2	15	Campy	 29	     5084	59.7
 2	P	 2	15	Campy	 30	     5347	59.7
 2	P	 2	15	Campy	 31	     5826	59.7
 2	P	 2	15	Campy	 32	     6589	59.7
 2	P	 2	15	Campy	 33	     7546	59.7
 2	P	 2	15	Campy	 34	     8620	59.7
 2	P	 2	15	Campy	 35	     9513	59.7
 2	P	 2	15	Campy	 36	    10314	59.7
 2	P	 2	15	Campy	 37	    10851	59.7
 2	P	 2	15	Campy	 38	    11306	59.7
 2	P	 2	15	Campy	 39	    11639	59.7
 2	P	 2	15	Campy	 40	    11901	59.7
 2	P	 2	15	Campy	 41	    11976	59.7
 2	P	 2	15	Campy	 42	    12078	59.7
 2	P	 2	15	Campy	 43	    12149	59.7
 2	P	 2	15	Campy	 44	    12229	59.7
 2	P	 2	15	Campy	 45	    12273	59.7
 2	P	 2	15	Yersi	  1	     5480	59.5
 2	P	 2	15	Yersi	  2	     5422	59.6
 2	P	 2	15	Yersi	  3	     5382	59.6
 2	P	 2	15	Yersi	  4	     5377	59.6
 2	P	 2	15	Yersi	  5	     5371	59.7
 2	P	 2	15	Yersi	  6	     5369	59.7
 2	P	 2	15	Yersi	  7	     5427	59.6
 2	P	 2	15	Yersi	  8	     5417	59.7
 2	P	 2	15	Yersi	  9	     5427	59.7
 2	P	 2	15	Yersi	 10	     5402	59.7
 2	P	 2	15	Yersi	 11	     5406	59.7
 2	P	 2	15	Yersi	 12	     5442	59.7
 2	P	 2	15	Yersi	 13	     5456	59.7
 2	P	 2	15	Yersi	 14	     5416	59.7
 2	P	 2	15	Yersi	 15	     5450	59.7
 2	P	 2	15	Yersi	 16	     5433	59.7
 2	P	 2	15	Yersi	 17	     5459	59.7
 2	P	 2	15	Yersi	 18	     5466	59.7
 2	P	 2	15	Yersi	 19	     5460	59.7
 2	P	 2	15	Yersi	 20	     5469	59.7
 2	P	 2	15	Yersi	 21	     5441	59.7
 2	P	 2	15	Yersi	 22	     5495	59.7
 2	P	 2	15	Yersi	 23	     5467	59.7
 2	P	 2	15	Yersi	 24	     5468	59.7
 2	P	 2	15	Yersi	 25	     5455	59.7
 2	P	 2	15	Yersi	 26	     5461	59.7
 2	P	 2	15	Yersi	 27	     5496	59.7
 2	P	 2	15	Yersi	 28	     5491	59.7
 2	P	 2	15	Yersi	 29	     5483	59.7
 2	P	 2	15	Yersi	 30	     5472	59.7
 2	P	 2	15	Yersi	 31	     5500	59.7
 2	P	 2	15	Yersi	 32	     5540	59.7
 2	P	 2	15	Yersi	 33	     5550	59.7
 2	P	 2	15	Yersi	 34	     5524	59.7
 2	P	 2	15	Yersi	 35	     5524	59.7
 2	P	 2	15	Yersi	 36	     5511	59.7
 2	P	 2	15	Yersi	 37	     5539	59.7
 2	P	 2	15	Yersi	 38	     5542	59.7
 2	P	 2	15	Yersi	 39	     5555	59.7
 2	P	 2	15	Yersi	 40	     5520	59.7
 2	P	 2	15	Yersi	 41	     5534	59.7
 2	P	 2	15	Yersi	 42	     5547	59.7
 2	P	 2	15	Yersi	 43	     5575	59.7
 2	P	 2	15	Yersi	 44	     5549	59.7
 2	P	 2	15	Yersi	 45	     5553	59.7
 2	P	 2	15	ICD	  1	    11530	59.5
 2	P	 2	15	ICD	  2	    11369	59.6
 2	P	 2	15	ICD	  3	    11175	59.6
 2	P	 2	15	ICD	  4	    11173	59.6
 2	P	 2	15	ICD	  5	    11166	59.6
 2	P	 2	15	ICD	  6	    11239	59.7
 2	P	 2	15	ICD	  7	    11112	59.7
 2	P	 2	15	ICD	  8	    11070	59.7
 2	P	 2	15	ICD	  9	    11057	59.7
 2	P	 2	15	ICD	 10	    11025	59.7
 2	P	 2	15	ICD	 11	    11067	59.7
 2	P	 2	15	ICD	 12	    11060	59.7
 2	P	 2	15	ICD	 13	    11050	59.7
 2	P	 2	15	ICD	 14	    11069	59.7
 2	P	 2	15	ICD	 15	    11071	59.7
