General:Pos	General:Sample Name	General:Repl. Of	General:Filt. Comb.	General:Target Name	Sample Preferences:Color	Abs Quant:Concentration	Rel Quant:Efficiency	Rel Quant:Combined Sample/Target type
A1	Sample_1	A1	465-510	negativ Kontrolle	$00FF8000		2.00	Target Negative
A2	Sample_2	A2	465-510	goi	clRed		2.00	Target Unknown
A3	Sample_2	A3	465-510	hk	$0030D700		2.00	Ref Unknown
A4	Sample_3	A1	465-510	negativ Kontrolle	clFuchsia		2.00	Target Negative
A5	Sample_4	A2	465-510	goi	clGray		2.00	Target Unknown
A6	Sample_4	A3	465-510	hk	$0012D7FA		2.00	Ref Unknown
A7	Sample_5	A6	465-510	negativ Kontrolle	$00000097		2.00	Target Negative
A8	Sample_6	A7	465-510	goi	$00FFFF0F		2.00	Target Unknown
A9	Sample_6	A8	465-510	hk	$00404000		2.00	Ref Unknown
A10	Sample_7	A6	465-510	negativ Kontrolle	$004080FF		2.00	Target Negative
A11	Sample_8	A7	465-510	goi	$00FD0299		2.00	Target Unknown
A12	Sample_8	A8	465-510	hk	$0026C4B8		2.00	Ref Unknown
B1	Sample_1	B1	465-510	goi	$00FF8000		2.00	Target PosCalibrator
B2	Sample_9	B2	465-510	goi	clRed		2.00	Target Unknown
B3	Sample_9	B3	465-510	hk	$0030D700		2.00	Ref Unknown
B4	Sample_3	B1	465-510	goi	clFuchsia		2.00	Target PosCalibrator
B5	Sample_10	B2	465-510	goi	clGray		2.00	Target Unknown
B6	Sample_10	B3	465-510	hk	$0012D7FA		2.00	Ref Unknown
B7	Sample_5	B7	465-510	goi	$00000097		2.00	Target PosCalibrator
